,db_index_budynki,coordsY_budynki,coordsX_budynki,db_index,coordsY,coordsX,distances,klasyfikacja
0,186,21.02499107309441,52.268094730514086,7472,21.026363899574335,52.266966699653494,"[0, 17.67126174391856, 16.229645451761673, 12.710146067589319, 5.845116139936562]",0
1,250,21.006458460820355,52.31614598957712,8992,21.005688900322525,52.31538060033449,"[0, 24.097905390112228, 22.65628909795534, 18.081054648124404, 9.511914544801765]",0
2,316,20.959221375156886,52.25656975267638,7152,20.9577889001377,52.258155600000975,"[0, 17.374144844169127, 15.932528552012235, 9.822250880266372, 0]",0
3,565,20.976362738066562,52.21929092061788,4514,20.977761099894906,52.218905600313235,"[0, 12.46274256224384, 11.021126270086949, 6.661951897449884, 6.483301574844945]",0
4,572,20.99702420603972,52.22563153533965,4925,20.99658329967957,52.225327800237835,"[0, 12.169779878486079, 10.728163586329188, 8.167192560875161, 5.669190510215779]",0
5,628,21.020133407855326,52.14212696062877,703,21.02142779965328,52.14129719960613,"[0, 2.485744919514078, 1.0441286273571861, 13.514149716350495, 15.394383562021828]",0
6,693,21.15516174537044,52.25925587128547,7101,21.155261099720008,52.25944440043878,"[0, 22.099066364624637, 20.657450072467743, 20.727139312366607, 15.852717186034607]",0
7,715,21.140912539127395,52.24409015955781,6212,21.140855600005978,52.24583060000225,"[0, 19.79638577355412, 18.354769481397227, 19.096591956364765, 14.659166247054914]",0
8,1642,21.077051542778353,52.17533270023355,1864,21.076791699777175,52.17591669979589,"[0, 9.724236887857698, 8.468709842119429, 14.677312305448973, 13.722381591916411]",0
9,1706,21.060285601409166,52.14000019826796,728,21.060958299685808,52.14080280000928,"[0, 4.440867327401022, 4.427841735369239, 15.035936076600835, 16.916169922272168]",0
10,1732,21.02376676655964,52.13857400202236,670,21.024483300264137,52.13793889996032,"[0, 2.291887102112145, 0, 14.0522947063409, 15.932528552012235]",0
11,1778,21.01680921902794,52.12200223338294,478,21.018261099670042,52.12167499980143,"[0, 0, 2.291887102112145, 15.493910998497794, 17.374144844169127]",0
12,1781,21.010076689702654,52.11028150268215,395,21.009447200427985,52.11048609985369,"[0, 1.7813084252416496, 4.0731955273537945, 17.275219423739436, 19.15545326941078]",0
13,2011,21.132917506124684,52.15306307866179,704,21.131736100340788,52.152702800194106,"[0, 12.475610926847272, 11.737596150145256, 19.385276093076467, 19.432638194325992]",0
14,2097,21.027086373696033,52.11474307542656,423,21.03160829968334,52.11325559986608,"[0, 1.70983949420588, 4.001726596318025, 17.20375049270367, 19.08398433837501]",0
15,2127,21.101943849279763,52.11470835341387,474,21.098847199738543,52.11694440036382,"[0, 8.537938076224695, 8.571869663640811, 19.26339490651939, 20.593335994077677]",0
16,2231,21.159555478882588,52.2586034144708,7060,21.16091110036706,52.25867220026191,"[0, 21.89831530159637, 20.456699009439475, 21.136156785688573, 16.261734659356573]",0
17,2283,21.17131814018653,52.28411346842821,8258,21.172188900097694,52.28574170031925,"[0, 0, 0, 0, 0]",0
18,2305,21.170649531073867,52.28183839125797,8080,21.170244400358854,52.280849999927625,"[0, 0, 0, 0, 0]",0
19,2445,21.171243695420582,52.26929412420893,7564,21.170319400220194,52.26916670038298,"[0, 23.30714179790774, 21.865525505750846, 22.37023584372306, 17.49581371739106]",0
20,2453,21.150119423997666,52.26411536865022,7400,21.14943609999608,52.26547499957161,"[0, 22.3757006544858, 20.934084362328914, 20.993918334222702, 16.119496207890702]",0
21,2636,21.168425276531586,52.2695074764593,7532,21.16902780019285,52.26853610026086,"[0, 23.268468991814835, 21.82685269965794, 22.11137903795014, 17.23695691161814]",0
22,2738,21.16538906350285,52.26776063960643,7401,21.165541699689754,52.2673027996845,"[0, 23.132233353688132, 21.690617061531245, 21.750451033425033, 16.876028907093033]",0
23,3116,21.06533531975962,52.28361661871157,8195,21.066449999867643,52.28339169986708,"[0, 20.1994100276825, 18.757793735525613, 15.698416508129025, 9.578525191519097]",0
24,3137,21.066805204886773,52.283075846019145,8195,21.066449999867643,52.28339169986708,"[0, 20.1994100276825, 18.757793735525613, 15.698416508129025, 9.578525191519097]",0
25,3208,21.067809973523698,52.28097880377158,8101,21.068144399944174,52.28131110032706,"[0, 19.9155536447013, 18.473937352544414, 15.414560125147826, 9.51457461957011]",0
26,3282,21.071392635488372,52.26413503971668,7424,21.07068059963001,52.26406939968308,"[0, 19.167818708396027, 17.72620241623914, 14.666825188842546, 9.684624801397286]",0
27,3356,21.074301284296084,52.27763508626116,7982,21.074458299910646,52.278549999982545,"[0, 20.090309568430825, 18.64869327627394, 15.589316048877347, 10.096764408080562]",0
28,3377,21.069559698062662,52.27697076847991,7921,21.06794439971435,52.27716109960511,"[0, 0, 0, 0, 0]",0
29,3443,21.03839847904239,52.273712771327205,7817,21.03911390028634,52.27494719985344,"[0, 18.716059598769437, 17.274443306612543, 14.215066079215948, 7.486250599026409]",0
30,3504,21.075380756115226,52.26827056006803,7130,21.07555830027536,52.268808299863224,"[0, 19.466042622962988, 18.0244263308061, 14.965049103409507, 9.982848715964247]",0
31,3639,21.0602660575779,52.27935748748194,7998,21.060350000052495,52.27898059987484,"[0, 19.68327413830999, 18.241657846153103, 15.182280618756513, 8.93712433510368]",0
32,3757,20.992728303573408,52.267998997202646,7503,20.99340000001007,52.26816389964432,"[0, 17.00262388891969, 15.561007596762794, 11.44402777816218, 3.318078682794593]",0
33,3758,20.9861685628434,52.2679582590816,7513,20.986852799716985,52.26836110028461,"[0, 17.01936517837759, 15.577748886220697, 11.253234756115393, 2.6177818132077917]",0
